求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,就業場所,URL
12110-00166611,ソフトウェア・システム開発技術者（官公庁経験者）急募,○ＪＡＶＡ・ＣＯＢＯＬ言語による各種業務用ソフトウェアの開発。,"203,800円〜338,200円","										（1）09時00分〜18時00分
",土日祝他,制限あり,千葉県大網白里市千葉県千葉市中央区千葉県千葉市美浜区東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1211000166611&kJKbn=1&jGSHNo=t9%2BKfM5zqxfFPMu6veLWkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
12110-00167911,ソフトウェア・システム開発技術者（グループリーダー）,○各種言語（ＪＡＶＡ・ＣＯＢＯＬ・ＶＢ・Ｃ♯・．ｎｅｔ・Ｄｅｌｐｈｉ等）による各種業務用ソフトウェアの開発。○グループ・メンバーの管理。,"226,200円〜352,800円","										（1）09時00分〜18時00分
",土日祝他,制限あり,千葉県大網白里市千葉県千葉市中央区千葉県千葉市美浜区東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1211000167911&kJKbn=1&jGSHNo=t9%2BKfM5zqxfFPMu6veLWkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
12110-00168111,ソフトウェア・システム開発技術者（業務ＳＥ）,・銀行系システムの開発・維持管理・損害保険系システムの開発・維持管理・運用,"203,800円〜414,200円","										（1）09時00分〜18時00分
",土日祝他,制限あり,千葉県大網白里市千葉県千葉市美浜区東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1211000168111&kJKbn=1&jGSHNo=t9%2BKfM5zqxfFPMu6veLWkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
12110-00169711,ソフトウェア・システム開発技術者,○各種言語（ＪＡＶＡ・ＣＯＢＯＬ・ＶＢ・Ｃ♯・．ｎｅｔ・Ｄｅｌｐｈｉ等）による各種業務用ソフトウェアの開発。,"203,800円〜338,200円","										（1）09時00分〜18時00分
",土日祝他,制限あり,千葉県大網白里市千葉県千葉市中央区千葉県千葉市美浜区東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1211000169711&kJKbn=1&jGSHNo=t9%2BKfM5zqxfFPMu6veLWkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00023911,ＳＥ・プログラマー,金融・証券を中心に、メインフレームからＷｅｂシステム、スマートフォンアプリまで幅広い設計・開発をしています。,"230,000円〜550,000円","										（1）09時00分〜17時30分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000023911&kJKbn=1&jGSHNo=3%2F%2BZxxLZrgTdnFiDrn2tDg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00024111,ＳＥ・プログラマー／経験不問,金融・証券を中心に、メインフレームからＷｅｂシステム、スマートフォンアプリまで幅広い設計・開発をしています。,"230,000円〜350,000円","										（1）09時00分〜17時30分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000024111&kJKbn=1&jGSHNo=3%2F%2BZxxLZrgTdnFiDrn2tDg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00064311,ＩＴエンジニア／組込み系（未経験可）,既卒の方や社会人経験の少ない方も歓迎します。チーム制、サポートの元、信頼を置いて働ける環境です。※経験の少ない方には研修・教育制度の用意もあります。,"184,000円〜250,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000064311&kJKbn=1&jGSHNo=pBAZjvG%2Bhrv59ubSoT6ndQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00065611,ＩＴエンジニア／組込み系（経験者）,チーム制、サポートの元、信頼を置いて働ける環境です。「ヒューマンスキル」の向上に焦点を当てた社員教育も定期的に実施しており、エンジニアとして成長できます。,"250,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000065611&kJKbn=1&jGSHNo=pBAZjvG%2Bhrv59ubSoT6ndQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00325811,ネットワークエンジニア（ＣＣＮＡ資格者）,ネットワークエンジニア。Ｃｉｓｃｏルータ、Ｃａｔａｌｙｓｔスイッチに関する業務。,"230,000円〜560,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000325811&kJKbn=1&jGSHNo=cu6K7o7rqW2It1egfDVMWw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00327511,サーバーエンジニア（ＬＰＩＣ資格者）,Ｌｉｎｕｘ、ＷｉｎｄｏｗｓＯＳの運用保守（設計～運用等）,"230,000円〜560,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000327511&kJKbn=1&jGSHNo=cu6K7o7rqW2It1egfDVMWw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00420811,ＰＧ・ＳＥ,コンピュータシステムの開発、運用、ソフトウェアの企画、設計、開発及び販売、システムインテグレーション、コールセンター・ヘルプデスクサービス、営業支援サービス、システムエンジニア支,"220,000円〜451,200円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000420811&kJKbn=1&jGSHNo=2DKmF6b%2B%2BFmGYT0UpCPj%2BA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00694111,「未経験可」システムエンジニア（Ｊａｖａ・ＰＨＰ）,・大手金融・航空・旅行・電力・通信などの大型案件で設計・開発を行って頂きます。世の中の便利や将来に向けたシステムを造るお仕事になります。,"200,000円〜350,000円","										（1）09時00分〜17時30分
",土日祝,不問,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000694111&kJKbn=1&jGSHNo=nv73%2F38YqJgbBMlKPSWkfw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00847711,システム開発プロジェクトマネージャー、プロジェクトリーダ,・金融・流通・製造分野を中心に、多数の構築案件がございます。・新規開発案件等の提案や立ち上げ、プロジェクトのビルドアップと全体管理。,"500,000円〜900,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000847711&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00852611,クラウドエンジニア【Ａｚｕｒｅ】,・金融・流通・製造分野を中心に、多数の構築案件がございます。・顧客先の開発案件に携わって頂きます。・クラウド環境（Ａｚｕｒｅ）の設計、構築、保守等,"400,000円〜700,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000852611&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00855711,クラウドエンジニア【ＡＷＳ】,・金融・流通・製造分野を中心に、多数の構築案件がございます。・顧客先の開発案件に携わって頂きます。・クラウド環境（ＡＷＳ）の設計、構築、保守等,"400,000円〜700,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000855711&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00864811,システムエンジニア、プログラマ【ＰＨＰ】,・金融・流通・製造分野を中心に、多数の開発案件がございます。・顧客先の開発案件にＰＧまたはＳＥ要員として携わって頂きます。,"400,000円〜700,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000864811&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00866511,システムエンジニア、プログラマ【Ｃ、Ｃ＋＋、Ｃ＃】,・金融・流通・製造分野を中心に、多数の開発案件がございます。・顧客先の開発案件にＰＧまたはＳＥ要員として携わって頂きます。,"400,000円〜700,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000866511&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00869311,システムエンジニア、プログラマ【ＪＡＶＡ】,・金融・流通・製造分野を中心に、多数の開発案件がございます。・顧客先の開発案件にＰＧまたはＳＥ要員として携わって頂きます。,"400,000円〜700,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000869311&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-00093011,システムエンジニア、ブログラマー,ソフトウェア開発（システム設計、プログラム設計、プログラミング、ＤＢ設計、ネットワーク設計、他）,"215,000円〜424,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304000093011&kJKbn=1&jGSHNo=pUgQwmoKxvO2HBSQe0BSFg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-00491911,組み込み系システムエンジニア（ＳＥ）／【正社員】,・ファームウエアの設計・開発・ミドルウエアの設計・開発・デバイス制御ソフトウエアの設計・開発,"250,000円〜450,000円",フレックスタイム制,土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304000491911&kJKbn=1&jGSHNo=msseE8bX1iUEf6GmApeQPA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-00505611,オープン系システムエンジニア（ＳＥ）／【正社員】,・ＵＮＩＸサーバ、ＷＥＢ系システムの設計・開発・通信ネットワークシステムの設計・開発・アプリケーションソフトウェアの設計・開発,"250,000円〜450,000円",フレックスタイム制,土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304000505611&kJKbn=1&jGSHNo=msseE8bX1iUEf6GmApeQPA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-00655211,システムエンジニア,例）・システム設計～開発～テスト・サーバー構築、ネットワーク構築・システムの運用、保守,"200,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304000655211&kJKbn=1&jGSHNo=S3DXkx1md6yh1ita2oLraw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-00772911,（ＳＥ）Ｏｂｊｅｖｔｉｖｅ－Ｃエンジニア,システムエンジニアとしてＯｂｊｅｖｔｉｖｅ－Ｃを使用したアプリ開発を担当していただきます。スキルに合わせて業務をお任せしますが、,"250,000円〜550,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304000772911&kJKbn=1&jGSHNo=2JGDfv7HaAwUlon1%2B4nyLw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-00775811,（ＰＧ）Ｖｕｅ．ＪＳエンジニア,プログラマーとしてＶｕｅ．ＪＳの開発を担当していただきます。スキルに合わせて業務をお任せしますが、経験の浅い方には先輩がしっかりサポートします。,"250,000円〜550,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304000775811&kJKbn=1&jGSHNo=2JGDfv7HaAwUlon1%2B4nyLw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00072511,ｃｏｌｄｆｕｓｉｏｎエンジニア,弊社にて設計・開発の業務※弊社所在地にて社員１５名、協力会社４名が受託開発に従事中の,"270,000円〜600,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000072511&kJKbn=1&jGSHNo=r4FFOCIgBplrxZQKZ%2Fy0aA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00087711,ネットワーク設計・構築（経験者）,ネットワーク設計、構築業務に携わっていただきます。顧客先にて、ネットワーク環境を設計し、ＵＮＩＸやＬｉｎｕｘ系,"300,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000087711&kJKbn=1&jGSHNo=dA0Dv6%2BBnFJtqkXijKTUJw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00209511,組込みソフトウェア設計開発／浜松町,通信・制御系の組込みソフトウェア設計のお仕事です。〈１〉組込み開発経験者（必須）,"250,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000209511&kJKbn=1&jGSHNo=TuDKVlpw6iYWraB2nrIQCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00236611,ＳＥ・プログラマー（経験者対象）,◎ＳＥ・プログラマー＊生保・損保・証券・銀行業務開発＊製造・流通・医療・官公庁業務開発,"250,000円〜440,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000236611&kJKbn=1&jGSHNo=EjOCAajP8tDfd%2FpMxo614Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00240511,ＳＥ・プログラマー（未経験者対象）,◎ＳＥ・プログラマー＊生保・損保・証券・銀行業務開発＊製造・流通・医療・官公庁業務開発,"185,000円〜240,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000240511&kJKbn=1&jGSHNo=EjOCAajP8tDfd%2FpMxo614Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00276011,オープン系ＷＥＢ系ＳＥ,オープン系ＷＥＢ系システム、携帯サイト開発をメインに行っています。（ＪＡＶＡ、ＰＨＰ、Ｃ＃、ＶＢ等）,"200,000円〜500,000円","										（1）09時30分〜18時30分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000276011&kJKbn=1&jGSHNo=x14Ha9qBUsshUl%2FVshUfhg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00292411,【未経験歓迎】ＩＴエンジニア／正社員,当社なら全く未経験でも意欲があればＩＴ業界で活躍可能！その為に充実した教育体制できめ細かな指導を実施。苦手な事もできるようになり、成長が実感出来るのがやりがいです,"200,000円〜215,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000292411&kJKbn=1&jGSHNo=LczOr3obE9q3YHE%2Bl%2BRERw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00531811,システムエンジニア／プログラマ,顧客の事業戦略やニーズをヒアリングし、要件定義、ソフト開発、保守を行う。,"201,000円〜371,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000531811&kJKbn=1&jGSHNo=eA9ls5w1F7LsBRM5PsPZBQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
